Date, Open, High, Low,Close
12/17/13,6522.2,6522.2,6482.59,6486.19
12/16/13,6439.96,6531.16,6422.23,6522.2
12/13/13,6445.25,6462.76,6433.51,6439.96
12/12/2013,6507.72,6507.72,6435.99,6445.25
12/11/2013,6523.31,6555.57,6507.72,6507.72
12/10/2013,6559.48,6571.91,6519,6523.31
12/09/2013,6551.99,6568.44,6534.74,6559.48
12/06/2013,6498.33,6555.73,6496.33,6551.99
12/05/2013,6509.97,6518.88,6487.15,6498.33
12/04/2013,6532.43,6544.7,6479.73,6509.97
12/03/2013,6595.33,6595.48,6531.34,6532.43
12/02/2013,6650.57,6657.41,6595.2,6595.33
11/29/13,6654.47,6681.57,6648.53,6650.57
11/28/13,6649.47,6679.51,6642.57,6654.47
11/27/13,6636.22,6664.14,6635.71,6649.47
11/26/13,6694.62,6696.95,6636.22,6636.22
11/25/13,6674.3,6709.08,6674.3,6694.62
11/22/13,6681.33,6711.03,6661.04,6674.3
11/21/13,6681.08,6697.69,6643.47,6681.33
11/20/13,6698.01,6711.42,6661.7,6681.08
11/19/13,6723.46,6723.46,6677.85,6698.01
11/18/13,6693.44,6732.1,6671.63,6723.46
11/15/13,6666.13,6703.12,6665.45,6693.44
11/14/13,6630,6696.16,6630,6666.13
11/13/13,6726.79,6726.81,6613.98,6630
11/12/2013,6728.37,6728.37,6693.26,6726.79
11/11/2013,6708.42,6744.77,6702.01,6728.37
11/08/2013,6697.22,6713.9,6643.86,6708.42
11/07/2013,6741.69,6779.18,6679.99,6697.22
11/06/2013,6746.84,6768.16,6735.64,6741.69
11/05/2013,6763.62,6773.86,6708.52,6746.84
11/04/2013,6734.74,6780.11,6734.56,6763.62
11/01/2013,6731.43,6760.87,6715.3,6734.74
10/31/13,6777.7,6778.27,6719.51,6731.43
10/30/13,6774.73,6819.86,6763.66,6777.7
10/29/13,6725.82,6777.16,6718.85,6774.73
10/28/13,6721.34,6739.66,6704.15,6725.82
10/25/13,6713.18,6729.74,6700.37,6721.34
10/24/13,6674.48,6719.25,6674.16,6713.18
10/23/13,6695.66,6695.92,6655.2,6674.48
10/22/13,6654.2,6719.27,6653.7,6695.66
10/21/13,6622.58,6654.2,6617.81,6654.2
10/18/13,6576.16,6622.7,6576.16,6622.58
10/17/13,6571.59,6576.16,6529.16,6576.16
10/16/13,6549.11,6584.39,6504.27,6571.59
10/15/13,6507.65,6569.28,6507.65,6549.11
10/14/13,6467.37,6507.8,6464.44,6507.65
10/11/2013,6430.49,6489.16,6430.47,6487.19
10/10/2013,6337.91,6446.22,6337.91,6430.49
10/09/2013,6365.83,6372.63,6316.91,6337.91
10/08/2013,6437.28,6437.73,6364.97,6365.83
10/07/2013,6453.88,6453.88,6391.47,6437.28
10/04/2013,6449.04,6473.58,6428.96,6453.88
10/03/2013,6437.5,6472.43,6436.21,6449.04
10/02/2013,6460.01,6460.01,6386.18,6437.5
10/01/2013,6462.22,6466.3,6424.37,6460.01
09/30/13,6512.66,6512.66,6438.72,6462.22
09/27/13,6565.59,6568.94,6487.3,6512.66
09/26/13,6551.53,6580.94,6535.78,6565.59
09/25/13,6571.46,6587.97,6526.42,6551.53
09/24/13,6557.37,6585.4,6549.92,6571.46
09/23/13,6596.43,6601.53,6542.67,6557.37
09/20/13,6625.39,6629.93,6594.17,6596.43
09/19/13,6558.82,6659.12,6558.82,6625.39
09/18/13,6570.17,6587.58,6532.5,6558.82
09/17/13,6622.86,6623.04,6570.17,6570.17
09/16/13,6583.8,6652.66,6583.8,6622.86
09/13/13,6588.98,6588.98,6561.78,6583.8
09/12/2013,6588.43,6606.12,6558.61,6588.98
09/11/2013,6583.99,6589.85,6559.72,6588.43
09/10/2013,6530.74,6599.51,6530.74,6583.99
09/09/2013,6547.33,6555.86,6508.76,6530.74
09/06/2013,6532.44,6568.18,6492.49,6547.33
09/05/2013,6474.74,6543.22,6461.68,6532.44
09/04/2013,6468.41,6486.4,6423.51,6474.74
09/03/2013,6506.19,6523.16,6456.95,6468.41
09/02/2013,6412.93,6532.3,6412.93,6506.19
08/30/13,6483.05,6502.19,6409.6,6412.93
08/29/13,6430.06,6500.51,6429.95,6483.05
08/28/13,6440.97,6440.97,6393.65,6430.06
08/27/13,6492.1,6494.2,6424,6440.97
08/26/13,6492.1,6516.71,6422.35,6492.1
08/23/13,6446.87,6516.71,6422.35,6492.1
08/22/13,6390.84,6468.88,6390.62,6446.87
08/21/13,6453.46,6453.55,6386.72,6390.84
08/20/13,6465.73,6465.73,6398.63,6453.46
08/19/13,6499.99,6506.59,6457.73,6465.73
08/16/13,6483.34,6502.27,6461.3,6499.99
08/15/13,6587.43,6587.88,6460.12,6483.34
08/14/13,6611.94,6627.96,6582.58,6587.43
08/13/13,6574.34,6620.43,6568.44,6611.94
08/12/2013,6583.39,6598.39,6547,6574.34
08/09/2013,6529.68,6601.21,6529.48,6583.39
08/08/2013,6511.21,6558.59,6507.24,6529.68
08/07/2013,6604.21,6624.99,6511.21,6511.21
08/06/2013,6619.58,6630.14,6562.32,6604.21
08/05/2013,6647.87,6684.95,6590.1,6619.58
08/02/2013,6681.98,6696.63,6623.85,6647.87
08/01/2013,6621.06,6681.98,6607.27,6681.98
07/31/13,6570.95,6659.35,6556.65,6621.06
07/30/13,6560.25,6600.72,6560.25,6570.95
07/29/13,6554.79,6606.36,6544.14,6560.25
07/26/13,6587.95,6629.89,6535.18,6554.79
07/25/13,6620.43,6625.35,6540.42,6587.95
07/24/13,6597.44,6662.19,6581.61,6620.43
07/23/13,6623.17,6657.66,6597.44,6597.44
07/22/13,6630.67,6645.01,6608.17,6623.17
07/19/13,6634.36,6635.22,6592.1,6630.67
07/18/13,6571.93,6657.38,6555.82,6634.36
07/17/13,6556.35,6595.62,6517.38,6571.93
07/16/13,6586.11,6606.42,6556.35,6556.35
07/15/13,6544.94,6605.9,6544.94,6586.11
07/12/2013,6543.41,6583.9,6540.24,6544.94
07/11/2013,6504.96,6585.74,6504.96,6543.41
07/10/2013,6513.08,6535.91,6472.41,6504.96
07/09/2013,6450.07,6530.86,6450.07,6513.08
07/08/2013,6375.52,6476.09,6375.52,6450.07
07/05/2013,6421.67,6498.59,6364.38,6375.52
07/04/2013,6229.87,6431.41,6229.87,6421.67
07/03/2013,6303.94,6303.94,6185.21,6229.87
07/02/2013,6307.78,6314.13,6266.5,6303.94
07/01/2013,6215.47,6317.02,6215.44,6307.78
06/28/13,6243.33,6268.84,6207.72,6215.47
06/27/13,6165.45,6271.8,6165.45,6243.4
06/26/13,6101.95,6177.92,6089.21,6165.48
06/25/13,6029.17,6114.61,6029.17,6101.91
06/24/13,6116.03,6136.11,6023.44,6029.1
06/21/13,6159.52,6244.17,6116.17,6116.17
